model,L,1,2,3,4,5,6,7,8,9,10
"SNICA (N=3, M=12)",3,0.61,0.89,0.69,0.87,0.77,0.75,0.91,0.89,0.75,0.78
"SNICA (N=6, M=12)",3,0.59,0.49,0.49,0.49,0.48,0.61,0.61,0.49,0.63,0.61
"SNICA (N=12, M=12)",3,0.41,0.39,0.38,,,0.39,0.37,0.42,0.44,0.39
"IIA-HMM (N=3, M=12)",3,0.35,0.07,0.32,0.26,0.26,0.23,0.22,0.05,0.05,0.14
"IIA-HMM (N=6, M=12)",3,0.19,0.15,0.2,0.14,0.08,0.18,0.19,0.16,0.08,0.13
"IIA-HMM (N=12, M=12)",3,,,,,,,,,,
